Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Narendra Modi,@narendramodi,2025-03-19T12:57:56.000Z,True,"Today, the Union Cabinet has approved an important infrastructure related project, the construction of 6- lane access controlled Greenfield Highway starting from JNPA Port (Pagote) to Chowk (29.219 km) in Maharashtra. This is in line with our vision of PM Gatishakti and ensuring",528,3.8K,23K,1.7M,[],[],[],https://pbs.twimg.com/profile_images/1833509376528945157/5AeMNn9f_normal.jpg,https://x.com/narendramodi/status/1902343782034796590,tweet_id:1902343782034796590
SpaceX,@SpaceX,2025-03-18T21:23:14.000Z,True,Dragon’s deorbit burn is complete and its nosecone is closed. Splashdown in ~34 minutes,409,1K,12K,955K,[],[],[],https://pbs.twimg.com/profile_images/1697749409851985920/HbrI04tM_normal.jpg,https://x.com/SpaceX/status/1902108559980294152,tweet_id:1902108559980294152
Science Magazine,@ScienceMagazine,2025-03-19T16:34:06.000Z,True,"Linoleic acid is the most abundant polyunsaturated fatty acid in the Western-style diet and has been implicated in promoting inflammation and cancer. 

In Science, researchers report a mechanism by which linoleic acid can activate the mTORC1 protein kinase, which coordinates",17,157,487,60K,[],[],[],https://pbs.twimg.com/profile_images/1001918231752429568/wUNPvDdW_normal.jpg,https://x.com/ScienceMagazine/status/1902398181939540251,tweet_id:1902398181939540251
Netflix,@netflix,2025-03-20T02:15:34.000Z,True,OH HELLO. #EverybodysLive,29,56,401,63K,['#EverybodysLive'],[],[],https://pbs.twimg.com/profile_images/1872671711700582400/6WLZxYpq_normal.jpg,https://x.com/netflix/status/1902544515032084720,tweet_id:1902544515032084720
Bill Gates,@BillGates,2025-03-20T05:44:17.000Z,True,"I had a very productive meeting with  where we discussed India’s impressive progress in public health. India’s commitment to eliminating infectious diseases, advancing maternal and child healthcare, and leveraging digital health platforms and AI, is creating healthier",0,9,63,6.9K,[],['@jpnadda'],[],https://pbs.twimg.com/profile_images/1879013694367252480/Gxa-Pspq_normal.jpg,https://x.com/BillGates/status/1902597037935497324,tweet_id:1902597037935497324
Elon Musk,@elonmusk,2025-03-19T06:27:16.000Z,True,"Sometimes when I need a little boost, I look at the  portrait in the  and thank the Lord ",19K,33K,264K,21M,[],"['@JDVance', '@WhiteHouse']",['\\U0001f64f'],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902245469624910072,tweet_id:1902245469624910072
@amuse,@amuse,2025-03-19T11:48:27.000Z,True,,1,5,244,29K,[],[],"['\\U0001f923', '\\U0001f923', '\\U0001f923']",https://pbs.twimg.com/profile_images/1880789348557168640/QJHxtJWI_normal.jpg,https://x.com/amuse/status/1902326299084853395,tweet_id:1902326299084853395
Google,@Google,2025-03-18T16:24:57.000Z,True,"Starting today, Gemini can help you even more, whether it’s creating and editing a document with you in real time or giving you a podcast-style summary of your docs and research. Learn more ↓",65,135,884,84K,[],[],[],https://pbs.twimg.com/profile_images/1754606338460487681/bWupXdxo_normal.jpg,https://x.com/Google/status/1902033494202896484,tweet_id:1902033494202896484
Marko Denic,@denicmarko,2025-03-19T11:51:54.000Z,True,CSS tips you won't see in most tutorials:,24,198,1.6K,154K,[],[],[],https://pbs.twimg.com/profile_images/1308385514744098816/oDXuaci__normal.jpg,https://x.com/denicmarko/status/1902327164306923762,tweet_id:1902327164306923762
Gunther Eagleman™,@GuntherEagleman,2025-03-19T10:05:58.000Z,True,Its true!,288,1.8K,8.7K,164K,[],[],[],https://pbs.twimg.com/profile_images/1606836521784512512/Xb-_cXXi_normal.jpg,https://x.com/GuntherEagleman/status/1902300507474952544,tweet_id:1902300507474952544
Elon Musk,@elonmusk,2025-03-18T21:55:49.000Z,True,Astronaut splashdown in 2 mins!,11K,17K,124K,19M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902116758665707584,tweet_id:1902116758665707584
Microsoft,@Microsoft,2025-03-18T19:30:00.000Z,True,"AI experiences increasingly are becoming multimodal. That means you can go beyond text prompts and use images, audio and video to help AI tools get a fuller picture of what you want — while making the interactions easier for you.",19,49,198,40K,[],[],[],https://pbs.twimg.com/profile_images/1701324249624150016/tcox7Ax3_normal.jpg,https://x.com/Microsoft/status/1902080063413035304,tweet_id:1902080063413035304
Gurpreet Garry Walia,@garrywalia_,2025-03-19T04:33:54.000Z,True,"सुनीता विलियम्स और 22 साल पुराना दर्द सुनीता विलियम्स आज वापिस लौटी है बहुत ख़ुशी हो रही है पर साथ ही एक दर्द फिर से आज आगे आ गया 

22 साल पहले 1 फरवरी 2003 को एक और भारतीय बेटी कल्पना चावला अंतरिक्ष से लौट रही थी. उस समय कोलंबिया अंतरिक्ष यान हादसे में कल्पना की मौत हो गई",186,677,7K,720K,[],[],['\\U0001f622'],https://pbs.twimg.com/profile_images/1695355898519015424/_TQqgEsn_normal.jpg,https://x.com/garrywalia_/status/1902216940950581505,tweet_id:1902216940950581505
CEO impakt.com (Winston) - AI Agent for Fitness,@winston_zin,2025-03-19T15:00:20.000Z,True,"This is crazy.

These two NASA astronauts just returned after being stuck in space for 286 days straight.

The failure of a $4B spacecraft turned 8 days into 9 MONTHS.

Here are the brutal effects of a long stay in space (& how microgravity could change their bodies forever): ",178,819,2.7K,687K,[],[],['\\U0001f9f5'],https://pbs.twimg.com/profile_images/1839409714729508864/QAWNT37O_normal.jpg,https://x.com/winston_zin/status/1902374587335373003,tweet_id:1902374587335373003
Ian Jaeger,@IanJaeger29,2025-03-18T22:44:24.000Z,True,This man is an American hero.,6.5K,11K,94K,1.1M,[],[],[],https://pbs.twimg.com/profile_images/1602055610903691264/owmk2WyJ_normal.jpg,https://x.com/IanJaeger29/status/1902128985552884197,tweet_id:1902128985552884197
Dear Self.,@Dearme2_,2025-03-18T09:06:06.000Z,False,"RULE NUMBER 1: Never tell anyone anything before it’s done. Neverrrrrrrrrrrrrrrrrrrr...

Here is why...",316,41K,353K,13M,[],[],[],https://pbs.twimg.com/profile_images/1863136130268360705/3dkACUpC_normal.jpg,https://x.com/Dearme2_/status/1901923053262577789,tweet_id:1901923053262577789
Natalie Winters,@nataliegwinters,2025-03-19T17:13:00.000Z,True,What if I told you I just destroyed Christopher Steele on ,1.4K,1.9K,18K,176K,[],['@PiersUncensored'],[],https://pbs.twimg.com/profile_images/1885313048073633792/7x3bDI-s_normal.jpg,https://x.com/nataliegwinters/status/1902407972241686807,tweet_id:1902407972241686807
DogeDesigner,@cb_doge,2025-03-19T16:44:05.000Z,True,"BREAKING: A DOGE official is taking leadership role at USAID after a federal judge ordered Elon Musk and DOGE to reinstate USAID’s functionality, as per AP.

Elon Musk: 1 
Judge: 0 ",381,927,4.8K,107K,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://x.com/cb_doge/status/1902400696072454281,tweet_id:1902400696072454281
Narendra Modi,@narendramodi,2025-03-19T12:55:54.000Z,True,"The Cabinet’s approval for a new Brownfield Ammonia-Urea Complex at BVFCL, Namrup, Assam will enhance domestic urea production, benefit farmers in the Northeast & Eastern India and create new employment opportunities. It will also strengthen our vision of an Aatmanirbhar Bharat",353,2.7K,15K,1.3M,[],[],[],https://pbs.twimg.com/profile_images/1833509376528945157/5AeMNn9f_normal.jpg,https://x.com/narendramodi/status/1902343273781563800,tweet_id:1902343273781563800
Elon Musk,@elonmusk,2025-03-20T04:58:35.000Z,True,"Should be the “Gondor judge”, but yeah",964,891,7.9K,923K,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902585538365796687,tweet_id:1902585538365796687
Narendra Modi,@narendramodi,2025-03-19T12:53:49.000Z,True,"A major boost for India's dairy sector! 

The Cabinet’s approval for the revised National Programme for Dairy Development will contribute to the sector’s transformation, ensuring better pricing for farmers, job creation and more.https://pib.gov.in/PressReleasePage.aspx?PRID=2112791…",317,2.2K,11K,839K,[],[],[],https://pbs.twimg.com/profile_images/1833509376528945157/5AeMNn9f_normal.jpg,https://x.com/narendramodi/status/1902342749111906555,tweet_id:1902342749111906555
NASA,@NASA,2025-03-18T19:10:10.000Z,True,"For 35 years,  has shown us the universe like no other telescope can.
 
Hear from the team that operates Hubble, and find out how they tag-team with other telescopes like , in this episode of ""Curious Universe:"" https://go.nasa.gov/3FxJ2Xo",164,907,5.4K,531K,[],"['@NASAHubble', '@NASAWebb']",[],https://pbs.twimg.com/profile_images/1321163587679784960/0ZxKlEKB_normal.jpg,https://x.com/NASA/status/1902075069909680598,tweet_id:1902075069909680598
Elon Musk,@elonmusk,2025-03-19T15:28:53.000Z,True,Wow,3.5K,17K,76K,11M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902381771410292985,tweet_id:1902381771410292985
DogeDesigner,@cb_doge,2025-03-19T16:44:05.000Z,True,"BREAKING: A DOGE official is taking leadership role at USAID after a federal judge ordered Elon Musk and DOGE to reinstate USAID’s functionality, as per AP.

Elon Musk: 1 
Judge: 0 ",381,927,4.8K,107K,[],[],['\\U0001f602'],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://x.com/cb_doge/status/1902400696072454281,tweet_id:1902400696072454281
Autism Capital,@AutismCapital,2025-03-17T19:19:49.000Z,True,NEW: The Astronauts are coming home! ,457,1.6K,12K,1.1M,[],[],"['\\U0001f6a8', '\\U0001f9d1\\u200d\\U0001f680', '\\U0001f469\\u200d\\U0001f680', '\\U0001f680']",https://pbs.twimg.com/profile_images/1607967887305887745/pN-Bl6pc_normal.jpg,https://x.com/AutismCapital/status/1901715113692066116,tweet_id:1901715113692066116
Elon Musk,@elonmusk,2025-03-19T16:00:18.000Z,True,Good question,13K,40K,298K,31M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902389676964479023,tweet_id:1902389676964479023
SpaceX,@SpaceX,2025-03-18T21:07:22.000Z,True,Dragon’s trunk has been jettisoned and the deorbit burn will begin soon,295,617,8.1K,735K,[],[],[],https://pbs.twimg.com/profile_images/1697749409851985920/HbrI04tM_normal.jpg,https://x.com/SpaceX/status/1902104565656514673,tweet_id:1902104565656514673
YouTube,@YouTube,2025-03-19T17:00:01.000Z,True,"january is blue, february is red, march is green, april is light blue, may is purple that is all",166,108,656,171K,[],[],[],https://pbs.twimg.com/profile_images/1427292844612595720/RC1YSvuT_normal.jpg,https://x.com/YouTube/status/1902404705009201198,tweet_id:1902404705009201198
Netflix,@netflix,2025-03-18T13:47:12.000Z,True,Benito in Happy Gilmore 2 ,92,325,3.3K,202K,[],[],['\\U0001f6a8'],https://pbs.twimg.com/profile_images/1872671711700582400/6WLZxYpq_normal.jpg,https://x.com/netflix/status/1901993795094466566,tweet_id:1901993795094466566
Science Magazine,@ScienceMagazine,2025-03-19T03:08:05.000Z,True,New  research involving mice and human tissues demonstrates how different immune cell types modify expression of stimulator of interferon genes (STING) to support their normal development and function. https://scim.ag/3Dp0eNR,2,29,118,32K,[],['@SciImmunology'],[],https://pbs.twimg.com/profile_images/1001918231752429568/wUNPvDdW_normal.jpg,https://x.com/ScienceMagazine/status/1902195343108010006,tweet_id:1902195343108010006
Narendra Modi,@narendramodi,2025-03-19T12:54:45.000Z,True,"The Cabinet’s decision relating to the Rashtriya Gokul Mission (RGM) will boost milk production, improve indigenous breeds and empower several dairy farmers. It is a major effort towards self-reliance in the livestock sector.https://pib.gov.in/PressReleasePage.aspx?PRID=2112788…",230,2K,10K,880K,[],[],[],https://pbs.twimg.com/profile_images/1833509376528945157/5AeMNn9f_normal.jpg,https://x.com/narendramodi/status/1902342983418286521,tweet_id:1902342983418286521
Gunther Eagleman™,@GuntherEagleman,2025-03-19T22:25:01.000Z,True,Truth.,106,497,3K,86K,[],[],[],https://pbs.twimg.com/profile_images/1606836521784512512/Xb-_cXXi_normal.jpg,https://x.com/GuntherEagleman/status/1902486495526576544,tweet_id:1902486495526576544
Google Health,@GoogleHealth,2025-03-18T15:02:48.000Z,False,"Are you tuned in? #TheCheckUp starts NOW! Stream the event live on  to hear the latest updates from , , , and more! Watch here:",5,15,86,52K,['#TheCheckUp'],"['@YouTube', '@Google', '@GoogleAI', '@googlecloud']",[],https://pbs.twimg.com/profile_images/1214221958063304706/oshhf5T5_normal.jpg,https://x.com/GoogleHealth/status/1902012818456822144,tweet_id:1902012818456822144
DogeDesigner,@cb_doge,2025-03-19T11:52:00.000Z,True,"Prime Minister Modi on the safe return of astronauts to Earth:

""We are incredibly proud of all those who worked tirelessly to ensure their safe return. They have demonstrated what happens when precision meets passion and technology meets tenacity.""",267,696,4.6K,93K,[],[],[],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://x.com/cb_doge/status/1902327190378967221,tweet_id:1902327190378967221
Elon Musk,@elonmusk,2025-03-19T23:05:35.000Z,True,,2.6K,3.5K,47K,18M,[],[],"['\\u2764\\ufe0f', '\\u2764\\ufe0f', '\\u2764\\ufe0f']",https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902496705083322524,tweet_id:1902496705083322524
NASA HQ PHOTO,@nasahqphoto,2025-03-19T15:31:49.000Z,True,Check out additional images of yesterday's splashdown and recovery of #Crew9 aboard a  Dragon spacecraft. Welcome home!  - https://flic.kr/s/aHBqjC5Wev,25,201,1.3K,92K,['#Crew9'],['@SpaceX'],['\\U0001f4f7'],https://pbs.twimg.com/profile_images/67630775/button_meatball_normal.png,https://x.com/nasahqphoto/status/1902382510853505509,tweet_id:1902382510853505509
Rupert Myers,@RupertMyers,2025-03-19T08:54:38.000Z,False,"I lost my AirPods Pro 2 and balked at the idea of spending >£200 to replace them when the 3 is coming out this year, so spent £49 on the CMF Buds Pro 2 from  and honestly may never go back to Apple - noise cancelling almost on a par and sounds *better*",64,36,1.2K,90K,[],['@nothing'],[],https://pbs.twimg.com/profile_images/1583004841915318272/tZI5Pvkp_normal.jpg,https://x.com/RupertMyers/status/1902282553790492739,tweet_id:1902282553790492739
Eva McMillan,@EvasTeslaSPlaid,2025-03-19T03:33:50.000Z,True,Who is with me?  ,2.8K,10K,63K,602K,[],['@Tesla'],['\\u2665\\ufe0f'],https://pbs.twimg.com/profile_images/1883190969807323136/VWI-Romk_normal.jpg,https://x.com/EvasTeslaSPlaid/status/1902201821390586276,tweet_id:1902201821390586276
Ian Miles Cheong,@stillgray,2025-03-20T04:30:37.000Z,True,"One of my posts condemning Ukraine for war crimes got restricted in the EU for hate speech. 

Lmao.",16,9,126,6.6K,[],[],[],https://pbs.twimg.com/profile_images/1889393631569620992/Xu68UK8n_normal.jpg,https://x.com/stillgray/status/1902578499975512399,tweet_id:1902578499975512399
Matt Van Swol,@matt_vanswol,2025-03-19T12:30:27.000Z,True,"I’ve struggled to write this, but here it goes…

Until 6 months ago, I considered myself pretty liberal. 

I hadn’t thought through every policy position. I just wanted to be on the side of the aisle I thought cared about people the most.

Hurricane Helene was an eye-opening",957,2.8K,17K,252K,[],[],[],https://pbs.twimg.com/profile_images/1580221131985920001/XNlqL_Yx_normal.jpg,https://x.com/matt_vanswol/status/1902336866512187583,tweet_id:1902336866512187583
Charles Miller,@charlesmiller_7,2025-03-19T14:49:43.000Z,True,Jeff Bezos on taking big swings:,16,238,2.1K,108K,[],[],[],https://pbs.twimg.com/profile_images/1876687474132422656/3DTeLJ2L_normal.jpg,https://x.com/charlesmiller_7/status/1902371916360643071,tweet_id:1902371916360643071
Joe G,@EastEndJoe,2025-03-18T23:17:46.000Z,True,Have you laughed today?,820,8.2K,43K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1854321762743320576/xQiXhaq4_normal.jpg,https://x.com/EastEndJoe/status/1902137383497179276,tweet_id:1902137383497179276
Tesla,@Tesla,2025-03-19T06:51:53.000Z,True,"Turns out, cameras + advanced neural nets is all you need

No expensive sensors or other hardware necessary",507,887,8.7K,684K,[],[],[],https://pbs.twimg.com/profile_images/1337607516008501250/6Ggc4S5n_normal.png,https://x.com/Tesla/status/1902251665362665691,tweet_id:1902251665362665691
Dean Cain,@RealDeanCain,2025-03-19T20:57:51.000Z,True,What model  should I buy…?,9.8K,5K,85K,1.4M,[],['@Tesla'],[],https://pbs.twimg.com/profile_images/1365199569013911552/I9wycwUs_normal.jpg,https://x.com/RealDeanCain/status/1902464560378081783,tweet_id:1902464560378081783
Drought,@_drought,2025-03-19T18:57:25.000Z,True,MS Paint Mirror,1.6K,56K,551K,10M,[],[],[],https://pbs.twimg.com/profile_images/1072360113636339712/hflWH20T_normal.jpg,https://x.com/_drought/status/1902434248881287367,tweet_id:1902434248881287367
Insurrection Barbie,@DefiyantlyFree,2025-03-19T13:32:59.000Z,True,"I got like one hour of sleep last night because I was engrossed in reading about the terrifying things our CIA does in other countries. 

From implanting  black panther movements in Algeria, to arming revolutionaries in the DR to overthrow their government and everything in",796,2.4K,12K,364K,[],[],[],https://pbs.twimg.com/profile_images/1899107797545213952/78g98YT9_normal.jpg,https://x.com/DefiyantlyFree/status/1902352604870619581,tweet_id:1902352604870619581
MaryCate Delvey,@marycatedelvey,2025-03-18T21:57:45.000Z,True,So many men have clearly never seen a woman up-close in their whole lives,6.5K,55K,811K,27M,[],[],[],https://pbs.twimg.com/profile_images/1633950440868986880/KV1o9Nq1_normal.jpg,https://x.com/marycatedelvey/status/1902117247021404280,tweet_id:1902117247021404280
Declaration of Memes,@LibertyCappy,2025-03-18T03:28:58.000Z,True,Won’t anyone think of those poor federal employees? ,1K,6.6K,31K,1.8M,[],[],['\\U0001f62d'],https://pbs.twimg.com/profile_images/1686104550032261125/mzYqcC4q_normal.jpg,https://x.com/LibertyCappy/status/1901838210746941735,tweet_id:1901838210746941735
Science Magazine,@ScienceMagazine,2025-03-18T19:51:05.000Z,True,""" ...with the stability of US-Canada relations at stake, scientific partnerships should be upheld by the leaders of both nations,"" writes  in a new #ScienceEditorial. https://scim.ag/41A44fb",6,4,35,22K,['#ScienceEditorial'],['@SciChefQC'],[],https://pbs.twimg.com/profile_images/1001918231752429568/wUNPvDdW_normal.jpg,https://x.com/ScienceMagazine/status/1902085370033946957,tweet_id:1902085370033946957
Elon Musk,@elonmusk,2025-03-20T04:35:48.000Z,True,"Yeah, this scam has been going on for a long time. 

Not anymore. ",879,1.6K,9.5K,1.1M,[],['@DOGE'],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902579806807503102,tweet_id:1902579806807503102
Narendra Modi,@narendramodi,2025-03-19T05:46:54.000Z,True,"Welcome back, #Crew9! The Earth missed you. 

Theirs has been a test of grit, courage and the boundless human spirit. Sunita Williams and the #Crew9 astronauts have once again shown us what perseverance truly means. Their unwavering determination in the face of the vast unknown",3.3K,19K,152K,12M,"['#Crew9', '#Crew9']",[],[],https://pbs.twimg.com/profile_images/1833509376528945157/5AeMNn9f_normal.jpg,https://x.com/narendramodi/status/1902235311071023195,tweet_id:1902235311071023195
Elon Musk,@elonmusk,2025-03-19T15:01:56.000Z,True,A massive fraud,3.8K,23K,97K,11M,[],[],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902374988818116908,tweet_id:1902374988818116908
Elon Musk,@elonmusk,2025-03-20T04:35:48.000Z,True,"Yeah, this scam has been going on for a long time. 

Not anymore. ",879,1.6K,9.5K,1.1M,[],['@DOGE'],[],https://pbs.twimg.com/profile_images/1893803697185910784/Na5lOWi5_normal.jpg,https://x.com/elonmusk/status/1902579806807503102,tweet_id:1902579806807503102
Netflix,@netflix,2025-03-18T18:41:49.000Z,True,,90,1K,10K,333K,[],[],[],https://pbs.twimg.com/profile_images/1872671711700582400/6WLZxYpq_normal.jpg,https://x.com/netflix/status/1902067937282028018,tweet_id:1902067937282028018
SpaceX,@SpaceX,2025-03-18T20:48:50.000Z,True,"After Dragon reenters Earth's atmosphere, it will splash down off the coast of Florida near Tallahassee at ~5:57 p.m. ET",336,867,6K,565K,[],[],[],https://pbs.twimg.com/profile_images/1697749409851985920/HbrI04tM_normal.jpg,https://x.com/SpaceX/status/1902099902135726597,tweet_id:1902099902135726597
NASA,@NASA,2025-03-19T16:21:04.000Z,True,"Sunrise, sunset
Swiftly flows the lunar day

Thanks to cameras aboard 's Blue Ghost lander, we've seen the start and end of a day on the Moon. Check out the science we did in between: https://go.nasa.gov/3DCuLrS",218,844,4.5K,432K,[],['@Firefly_Space'],[],https://pbs.twimg.com/profile_images/1321163587679784960/0ZxKlEKB_normal.jpg,https://x.com/NASA/status/1902394904862421110,tweet_id:1902394904862421110
Gunther Eagleman™,@GuntherEagleman,2025-03-19T12:47:30.000Z,True,This is exactly why the Left is polling at 29% approval.,106,352,2.1K,149K,[],[],[],https://pbs.twimg.com/profile_images/1606836521784512512/Xb-_cXXi_normal.jpg,https://x.com/GuntherEagleman/status/1902341157817856196,tweet_id:1902341157817856196
Google,@Google,2025-03-18T21:14:08.000Z,True,We’ve partnered with  for years with the goal of making AI more helpful and accessible. Learn more about how we’re expanding the collaboration across Alphabet at #GTC25 this week ↓,51,132,801,86K,['#GTC25'],['@NVIDIA'],[],https://pbs.twimg.com/profile_images/1754606338460487681/bWupXdxo_normal.jpg,https://x.com/Google/status/1902106268375851435,tweet_id:1902106268375851435
DogeDesigner,@cb_doge,2025-03-20T01:04:47.000Z,True,"Investment Advice from Elon Musk:

Don't panic when the market does.",218,221,1.3K,43K,[],[],[],https://pbs.twimg.com/profile_images/1498070100393754625/C2V-fbll_normal.jpg,https://x.com/cb_doge/status/1902526699876839849,tweet_id:1902526699876839849
Microsoft,@Microsoft,2025-03-18T18:09:21.000Z,True,"50 years of innovation, memories, and moments that shaped us. To celebrate, we’re sharing some nostalgic wallpapers. Download yours and relive the magic.  #Microsoft50",27,84,375,45K,['#Microsoft50'],[],"['\\u2728', '\\U0001f4f2']",https://pbs.twimg.com/profile_images/1701324249624150016/tcox7Ax3_normal.jpg,https://x.com/Microsoft/status/1902059764542050598,tweet_id:1902059764542050598
PoliticsVideoChannel,@politvidchannel,2025-03-19T14:04:27.000Z,True,BREAKING: Top Tesla investor Just officially asked Elon Musk to step down as head of the company for destroying the electric vehicle maker's reputation,1.5K,8.8K,62K,2.6M,[],[],[],https://pbs.twimg.com/profile_images/1453562764643893257/Kt9zl6ml_normal.jpg,https://x.com/politvidchannel/status/1902360524634865671,tweet_id:1902360524634865671
Ian Miles Cheong,@stillgray,2025-03-20T04:00:03.000Z,True,Hell yeah. The cavalry has arrived.,6,21,127,13K,[],[],[],https://pbs.twimg.com/profile_images/1889393631569620992/Xu68UK8n_normal.jpg,https://x.com/stillgray/status/1902570808805093856,tweet_id:1902570808805093856
mindy,@mindyisser,2025-03-18T11:30:59.000Z,False,facetimed my husband at work this morning while he was in his truck and told him he looked soooo s*xy but i didn’t know there were other guys in the truck with him so now i’ve set him up to be made fun of for the next 26 years,422,6.7K,326K,6.1M,[],[],[],https://pbs.twimg.com/profile_images/1867963649446301696/XbZj-Bnn_normal.jpg,https://x.com/mindyisser/status/1901959514896621791,tweet_id:1901959514896621791
Satan,@s8n,2025-03-18T10:00:19.000Z,True,,131,5.3K,280K,5.5M,[],[],[],https://pbs.twimg.com/profile_images/1880278672222916608/xIG6V6Rn_normal.jpg,https://x.com/s8n/status/1901936697711202371,tweet_id:1901936697711202371
Mark Cuban,@mcuban,2025-03-19T17:54:52.000Z,True,"Got to give Doge credit for being the first to cut entitlements.  End telephone support for Social  Security,  cut dozens of SS offices and make Grandma and Grandpa finally get online to confirm their payments. 
What an amazing back door way to cut payments! Gonna be some upset",7.5K,8.1K,57K,4.7M,[],[],[],https://pbs.twimg.com/profile_images/1422637130/mccigartrophy_normal.jpg,https://x.com/mcuban/status/1902418507901628602,tweet_id:1902418507901628602
